"Investment","Bonus","Rollover","Betsize","Win_prob","Vig","Scencount","prob_of_ruin","expected_return","exp_gobroke"
2000,1000,17,100,0.55,110,1000,0.044,3654.75504454547,3643.34594000002
2000,1000,20,10,0.5,110,1000,0.444,155.453189999916,313.438841818125
2000,1000,20,10,0.51,110,1000,0.078,923.251359090782,941.944113636242
2000,1000,20,10,0.52,110,1000,0.007,1683.35589454529,1683.36226090893
2000,1000,20,10,0.53,110,1000,0,2442.23860999983,2442.23860999983
2000,1000,20,10,0.54,110,1000,0,3208.146781818,3208.146781818
2000,1000,20,10,0.55,110,1000,0,3975.83040999982,3975.83040999982
2000,1000,20,20,0.5,110,1000,0.494,139.89365272728,408.412274545459
2000,1000,20,20,0.51,110,1000,0.198,905.439081818182,973.21744181818
2000,1000,20,20,0.52,110,1000,0.052,1665.33360727269,1673.2136563636
2000,1000,20,20,0.53,110,1000,0.008,2431.41358363628,2431.37176909083
2000,1000,20,20,0.54,110,1000,0,3200.70083636351,3200.70083636351
2000,1000,20,20,0.55,110,1000,0,3967.27718363621,3967.27718363621
2000,1000,20,30,0.5,110,1000,0.529,117.26684272728,463.649375454554
2000,1000,20,30,0.51,110,1000,0.284,890.563168181841,987.363541818206
2000,1000,20,30,0.52,110,1000,0.105,1651.3167745455,1662.79056636368
2000,1000,20,30,0.53,110,1000,0.026,2420.14583000008,2415.75040272735
2000,1000,20,30,0.54,110,1000,0.003,3181.47216363646,3179.57944181827
2000,1000,20,30,0.55,110,1000,0,3946.63577545463,3946.63577545463
2000,1000,20,40,0.5,110,1000,0.543,128.209123636352,533.024639999996
2000,1000,20,40,0.51,110,1000,0.32,898.79452727272,1037.78417090909
2000,1000,20,40,0.52,110,1000,0.146,1661.36176,1691.78384727273
2000,1000,20,40,0.53,110,1000,0.052,2428.96898545456,2424.55453454547
2000,1000,20,40,0.54,110,1000,0.013,3188.93985454547,3184.13260000002
2000,1000,20,40,0.55,110,1000,0.003,3955.17254909092,3951.64891636365
2000,1000,20,50,0.5,110,1000,0.578,133.802313636376,568.603590909098
2000,1000,20,50,0.51,110,1000,0.367,903.834068181831,1061.52123181819
2000,1000,20,50,0.52,110,1000,0.193,1667.18401818183,1694.71172272728
2000,1000,20,50,0.53,110,1000,0.077,2428.43395909092,2427.89322272728
2000,1000,20,50,0.54,110,1000,0.025,3197.60663636364,3191.2476
2000,1000,20,50,0.55,110,1000,0.011,3967.63841363635,3961.34298181817
2000,1000,20,100,0.5,110,1000,0.626,114.0459009091,710.027452727278
2000,1000,20,100,0.51,110,1000,0.464,887.418640909102,1177.42753272728
2000,1000,20,100,0.52,110,1000,0.331,1644.94592363638,1722.40941636365
2000,1000,20,100,0.53,110,1000,0.228,2408.0095718182,2378.39129181819
2000,1000,20,100,0.54,110,1000,0.123,3184.05503636365,3138.01862363638
2000,1000,20,100,0.55,110,1000,0.055,3963.91868090911,3937.69138818183
